title
"Job Size: Min (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Min (Core Count)"
"Moschetti, Morgan Paul - USGS",8000
"Chandran, Benjamin - U New Hampshire",4096
"Kunz, Matthew W - Princeton U",4096
"Elcock, Adrian H - U Iowa",2048
"Shi, Yunfeng - RPI",2048
"Gasper, Paul M - SUNY Albany",1248
"Huo, Pengfei - Caltech",1024
"Huwe, Peter - U Pennsylvania",1024
"Lewis, Nathan Enoch - UC San Diego",1024
"Ballance, Connor - Auburn U",800
"Yao, Xiaohui - IUPUI",800
"Marchand, Roger - U Washington",768
"Trac, Hy - CMU",768
"Akis, Richard - Arizona State U",736
"Ranganathan, Srivathsan V - SUNY Albany",528
"De Zorzi, Rita - Harvard Med Sch",512
"Kareem, Ahsan - U Notre Dame",512
"Kim, Hyojin - Harvard Med Sch",512
"Tan, Dongyan - Harvard Med Sch",512
"Zou, Jian  - WPI",512
"El-Alaoui, Mostafa - UCLA",400
"Bishop, Anthony C - RPI",384
"Ruan, Youyi - Brown U",384
"Mashayek, Farzad - U Illinois, Chicago",336
"Lu, Hui - U Illinois, Chicago",312
"Shim, Joong-Youn - NC Central U",288
"Balick, Bruce -- - U Washington",256
"Bellovary, Jillian M - Vanderbilt U",256
"Bylander, Daniel Martin - Texas State U",256
"Dempski, Robert E - WPI",256
"Johner, Niklaus B - Weill Cornell Med College",256
"Kane, Michael John - Yale U",256
"Lazzati, Davide  - Oregon State U",256
"Lobo, Daniel - Tufts U",256
"Mondal, Sayan - Weill Cornell Med College",256
"Reutt-Robey, Janice Ellen - U Maryland",256
"Zhuang, Houlong - ORNL",256
"Katzenellenbogen, John A - UIUC",240
"Sotomayor, Marcos - Ohio State U",224
"Khelashvili, George - Weill Cornell Med College",192
"Perez-Aguilar, Jose Manuel - Weill Cornell Med College",192
"Smith, Paul E - Kansas State U",192
"Bhattacharya, Apratim - Andritz Automation",160
"Roy, Kuldeep Kumar - U Mississippi",160
"li, yaping  - U Tulsa",160
"Blaisdell, Gregory A. - Purdue U",144
"Huggett, Mark - Georgetown U",144
"Johnson, Harley T. - UIUC",144
"Shen, Peter  - U Utah",144
"Ascenzi, Maria-Grazia - UCLA",128
"Bradford, Kent Jay - UC Davis",128
"Briggs, James Michael - U Houston",128
"Dick, Robert Alfred - Cornell U",128
"JIA, YINGDONG - UCLA",128
"Loesche, Mathias  - CMU",128
"Michael, Scott - Indiana U",128
"Morris, Mark - UCLA",128
"Qi, Feng - Sanford-Burnham Med Res Inst",128
"Ramm, Alexander G. - Kansas State U",128
"Seifu, Dereje  - Morgan State U",128
"Stevanovic, Vladan - Colorado Sch of Mines",128
"Moldwin, Mark B - U Michigan",112
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",112
"Brooks, Charles L - U Michigan",96
"Buck, Matthias - CWRU",96
"Kibalchenko, Mikhail - UCLA",96
"Wiens, Douglas A - Washington U",96
"Wing, Rod Anthony - U Arizona",96
"Yoon, Chamna - CUNY",96
"Bhide, Ravindra - U Utah",80
"Cann, Isaac K O - UIUC",80
"Fleming, Karen - Johns Hopkins U",80
"Frost, Adam S - U Utah",80
"Leschziner, Andres E - Harvard U",80
"Boudker, Olga - Weill Cornell Med College",64
"Bucher, Denis - UC San Diego",64
"Carruthers, Lucy Marston - U Arizona",64
"Connor, Edward F - San Francisco State U",64
"Dufek, Josef - Georgia Tech",64
"Engelman, Donald M - Yale U",64
"Garcia, Adrian  - UC Irvine",64
"Gubbins, Keith E. - NC State U",64
"Guven, Ibrahim - U Arizona",64
"Heraty, John - UC Riverside",64
"Herce, Henry David - RPI",64
"Johnson, Calvin William - San Diego State U",64
"Johnson, Erin R - UC Merced",64
"Kennefick, Daniel John - U Arkansas",64
"Lambert, Lixia He - U Tennessee",64
"Li, Lan - Boise State U",64
"Linninger, Andreas - U Illinois, Chicago",64
"Lisy, James M. - UIUC",64
"Meyer, Randall - U Illinois, Chicago",64
"Motamarri, Phani - U Michigan",64
"Nilsson, Mikael - UC Irvine",64
"Offner, Stella S - U Mass, Amherst",64
"Peet, Yulia  - Arizona State U",64
"Thoma, Brent Patrick - U Louisiana, Lafayette",64
"Tokman, Mayya - UC Merced",64
"Um, Jun Shik - UIUC",64
"Velikokhatnyi, Oleg I - U Pittsburgh",64
"Wang, Binghe - Georgia State U",64
"Watkins, Stephan Lloyd - Oregon State U",64
"Yang, Chao-Yie - U Michigan",64
"Zingale, Michael - SUNY Stony Brook",64
"Baker, Nathan - PNL",48
"Combariza, Jaime E - Johns Hopkins U",48
"Ertekin, Elif - UIUC",48
"Filipp, Fabian V - UC Merced",48
"Haase, Jennifer Susan - SIO",48
"O'Brien, Caroline - MIT",48
"Parry, Owen - U Maryland",48
"Pfaendtner, Jim - U Washington",48
"Pogorelov, Taras - UIUC",48
"Xu, Ling - U Michigan",48
"akgun, ugur - Coe College",48
"Abrams, Binyomin - Boston U",32
"Agrawal, Rajendra K - SUNY Albany",32
"Allen, Richard - UC Berkeley",32
"Balsara, Dinshaw S - U Notre Dame",32
"Barone, Veronica  - Central Michigan U",32
"Becker, Andrew - U Washington",32
"Belgin, Mehmet - Georgia Tech",32
"Bhattacharyay, Sudeep - U Wisconsin-Eau Claire",32
"Block, Matthew - CSU-Sacramento",32
"Broadbelt, Linda - Northwestern U",32
"Brown, Laura E - Michigan Tech",32
"Burton, Orville Vernon - Clemson U",32
"Bykhovskaia, Maria - Central U Caribbean",32
"Cerutti, Benoit - Princeton U",32
"Chew, Huck Beng - UIUC",32
"Ciliberto, Federico - U Virginia",32
"Condron, Alan - U Mass, Amherst",32
"Crane-Droesch, Andrew - UC Berkeley",32
"Cuadra, Jefferson A - Drexel U",32
"Douma, Michael - IDEA",32
"Echeverria, Ignacia - U Maryland",32
"Emerick, Andrew James - Columbia U",32
"Errington, Jeffrey - SUNY Buffalo",32
"Facelli, Julio C - U Utah",32
"Fakheri, Ahmad - Bradley U",32
"Frebel, Anna - MIT",32
"Fuentes-Cabrera, Miguel Angel - U Tennessee",32
"Gennis, Robert B - UIUC",32
"Gregg, Nathan Eric - West Virginia U",32
"Guvench, Olgun - U New England",32
"Hanken, Benjamin - Oregon State U",32
"Hansen, Charles D. - U Utah",32
"Hati, Sanchita - U Wisconsin-Eau Claire",32
"Holley-Bockelmann, Kelly - Vanderbilt U",32
"Ignatchenko, Alexey V - St. John Fisher College",32
"Jang, Seung Soon - Georgia Tech",32
"Johnson, Richard Peter - U New Hampshire",32
"Kaul, Ribhu - U Kentucky",32
