title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2015-01-01,2015-05-01
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Harman, Todd - U Utah",14887,547.8039242189259
"Cosden, Ian A - Princeton U",7304,1414.8815745412026
"Reed, Patrick M - Cornell U",5070,1479.300827604971
"Kubis, Tillmann - Purdue U",4705,1007.5903176820157
"Hansen, Charles D. - U Utah",4262,136.8488774460313
"Wang, Bei - Princeton U",3611,382.72727822993306
"Marinacci, Federico - MIT",3566,202.9380097407946
"Ricker, Paul M. - UIUC",3258,216.90396856348542
"Moreno, Juana - Louisiana State U",3200,0
"Toomre, Juri - CU Boulder",3152,0
"Djohari, Hadrian - CWRU",3144,673.1656556895932
"Liu, Keh-Fei - U Kentucky",3069,113.98010810219978
"Anderson, Stuart Bruce - Caltech",3047,241.7713934678525
"Soltesz, Ivan - UC Irvine",2894,86.49873658166756
"Madison, Don - Missouri S&T",2197,278.4584216588083
"Jiang, Yanfei - Smithsonian Astrophys Obs",2048,184.60422530375624
"Reynolds, Christopher Stephen - U Maryland",2022,229.70575368316156
"McKinney, Jonathan C. - U Maryland",1938,180.25731709768525
"Shapiro, Paul R - UT Austin",1932,284.23366268118235
"Stadler, Georg - NYU",1917,123.77611009479939
"Srinivasan, Sundar - U Washington",1899,102.67023353010936
"Griesel, Alexa - SIO",1708,284.2222222223335
"He, Ping - NC State U",1628,221.9545004852974
"Pogorelov, Nikolai - U Alabama, Huntsville",1451,300.8571526098625
"Loth, Francis - U Akron",1399,134.41794367324098
"Bylander, Daniel Martin - Texas State U",1390,224.59230312728914
"Lyon, John G. - Dartmouth College",1285,83.97434781472907
"Gasper, Paul M - SUNY Albany",1280,16
"Simon, Jake - Southwest Res Inst",1215,372.68367109597625
"Jin, Guangxu  - Wake Forest Sch of Med",1214,146.5273274297843
"Mazloff, Matthew R. - SIO",1187,67.66115511396922
"Beg, Farhat - UC San Diego",1119,119.20924330068743
"Raeder, Joachim - U New Hampshire",1111,186.06645771626282
"Narayan, Ramesh - Harvard U",1064,41.71457339776201
"Childers, Greg - CSU-Fullerton",1056,496
"Hong, Han  - Stanford U",1024,0
"Trac, Hy - CMU",1024,0
"Subramaniam, Shankar - Iowa State U",1006,239.95786180240597
"Jaberi, Farhad A - Michigan State U",1005,64.9782232996704
"Condron, Alan - U Mass, Amherst",1001,56.172768792084426
"Goodman, Jeremy - Princeton U",996,153.70151328081604
"Pande, Santosh - Georgia Tech",943,82.26187092037472
"Kellogg, Louise H - UC Davis",939,77.12626282243089
"Berzins, Martin - U Utah",929,57.692450648991205
