title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2015-04-01,2015-04-30
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Harman, Todd - U Utah",16384,0
"Cosden, Ian A - Princeton U",7304,1414.8815745412026
"Reed, Patrick M - Cornell U",5272,1524.6874297166617
"Kubis, Tillmann - Purdue U",4705,1007.5903176820157
"McKinney, Jonathan C. - U Maryland",4096,0
"Fang, Fang - NCAR",3600,0
"Wang, Bei - Princeton U",3206,882.8874132810689
"Anderson, Stuart Bruce - Caltech",3047,241.7713934678525
"Soltesz, Ivan - UC Irvine",2643,136.2636984402724
"Jaberi, Farhad A - Michigan State U",2400,0
"Narayan, Ramesh - Harvard U",2196,213.0522321976573
"Raeder, Joachim - U New Hampshire",2110,368.0958007348571
"Marinacci, Federico - MIT",2056,1442.4978336205568
"Srinivasan, Sundar - U Washington",1920,0
"Cui, Yifeng - UC San Diego",1904,97.28138543373231
"Stadler, Georg - NYU",1882,216.08506006859795
"Uzun, Ali - Florida State U",1566,19.21310431564569
"Jin, Guangxu  - Wake Forest Sch of Med",1562,624.3584707521793
"Zeng, Yong - U Missouri, Kansas City",1536,0
"Gumbart, James - Georgia Tech",1473,118.64158603433295
"Smith, Cameron Walter - RPI",1340,302.138933752114
"Donzis, Diego A. - Texas A&M",1330,136.44690050735537
"Condron, Alan - U Mass, Amherst",1159,59.14598811910357
"Jagota, Anand - Lehigh U",1080,252.58661880630177
"Mahesh, Krishnan - U Minn",1079,174.98178190886034
"Gomez, Facundo A - Michigan State U",1024,0
"Simon, Jake - Southwest Res Inst",1024,0
"Reynolds, Christopher Stephen - U Maryland",1009,191.6289534699806
"Jakowski, Jacek - U Tennessee",973,159.52440019182723
"Liu, Keh-Fei - U Kentucky",967,170.5945247775379
"Pande, Santosh - Georgia Tech",964,142.3609396273163
"Hasenfratz, Anna - CU Boulder",948,42.124981850802804
"Gao, Huajian - Brown U",934,217.7324215812032
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",912,0
"Zgid, Dominika Kamila - U Michigan",902,213.3777731495817
"Blanquart, Guillaume - Caltech",900,102.41606105840494
"Han, Yong - Iowa State U",896,139.68854243956045
"Sotomayor, Marcos - Ohio State U",896,28.187503006213866
"Chen, Min - Rice U",851,78.34586789644064
"Aksimentiev, Aleksei - UIUC",846,180.29366634035975
"Pogorelov, Nikolai - U Alabama, Huntsville",837,376.9729499463001
"Yao, Xiaohui - IUPUI",800,0
"Skjellum, Anthony  - Auburn U",797,85.73537284414031
"Arolla, Sunil - Cornell U",767,270.51997984775267
"Sironi, Lorenzo - Harvard U",759,265.8995900711394
"Fan, Shanhui - Stanford U",739,15.448813179403675
"Akis, Richard - Arizona State U",736,0
"Dawson, Clinton N - UT Austin",733,51.376288123538195
"Patricola, Christina M - Texas A&M",713,11.62972877875056
"Motamarri, Phani - U Michigan",700,61.23724356957945
"Subramaniam, Shankar - Iowa State U",694,155.87776154173253
"Keaveny, Tony M. - UC Berkeley",661,88.04365061481325
"Berzins, Martin - U Utah",655,63.59108301937262
"Cohen, Marvin L. - UC Berkeley",655,110.23494841409925
"Wu, Chengping - U Virginia",655,61.41579890156296
"Zhu, Cheng - Georgia Tech",635,5.611317180380399
"Cessi, Paola - SIO",609,125.27162155359318
"Chang, Ping - Texas A&M",607,92.3427046989155
"Bartschat, Klaus - Drake U",600,87.53759253584649
"Heinz, Sebastian - U Wisconsin-Madison",592,91.73875952943771
"Ott, Christian David - Caltech",586,125.28807584685786
"Sundar, Hari  - U Utah",579,87.74597484486297
"Soe, Min - Rogers State U",563,197.06149606863113
"Subramanian, Aneesh - SIO",560,0
"Mac Low, Mordecai-Mark - AMNH",552,57.675256264648205
"Mitas, Lubos - NC State U",552,135.65303569677312
"Ramaprabhu, Praveen Kumar - UNC Charlotte",540,126.40761780356706
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",527,155.94758361079272
"Abernathey, Ryan - Columbia U",512,0
"Asadi, Ebrahim - Missouri S&T",512,0
"Pritchett, Philip L. - UCLA",512,147.80166891254422
"Zou, Jian  - WPI",512,0
"Morse, David - U Minn",510,29.656108173118604
"Saravanan, Ramalingam - Texas A&M",486,84.39810068331734
"Hong, Sampyo - U Central Florida",472,79.52659932374827
"Chelikowsky, James R - UT Austin",471,64.25642821166306
"Doubleday, Charles - Columbia U",459,34.80425028332266
"Volkov, Alexey N. - U Alabama",458,92.91351492796606
"Helenbrook, Brian - Clarkson U",456,54.77225575051661
"Frank, Adam - U Rochester",450,30.427686193960753
"Schanzenbach, David - U Hawaii, Manoa",438,40.21878558290308
"Indiviglio, Frank M - NOAA",430,53.76893259122781
"Madura, Jeffry D. - Duquesne U",427,24.15524339538664
"Hagen, Scott Charles - U Central Florida",419,53.55218172773062
"Filip, Grzegorz Piotr - U Michigan",411,69.05479356146206
"Lesage, Anne-Cecile - Texas Tech U",402,34.03153544432937
"Roux, Benoit - U Chicago",398,34.151645727472555
"Allison, Jason Robert - TACC",387,90.35887677957349
"Tomko, Karen - Ohio State U",385,59.312192181645436
"Bykhovskaia, Maria - Central U Caribbean",384,0
"Liebling, Steven - Long Island U",384,0
"Mehringer, Susan - Cornell U",382,55.41903731938165
"Boylan-Kolchin, Michael  - U Maryland",370,40.964681945751686
"Wiens, Douglas A - Washington U",368,90.86253353280438
"Burton, Zachary F - Michigan State U",362,29.511218205963623
"Abraham, John - Purdue U",355,23.147033266892546
"Keating, Brian - UC San Diego",355,54.57987690534277
"Ceperley, David M - UIUC",353,85.18742622963123
"Xuan, Yuan  - Penn State U",353,86.67512156980337
"Mofrad, Mohammad R. K. - UC Berkeley",343,53.932673151941195
"Zou, Jian - IUPUI",342,265.63355432862966
"Hernandez, Rigoberto - Georgia Tech",333,40.89870413595032
"Park, Kyungwha - Virginia Tech",331,12.731815478606466
"Zhang, Shiwei  - College of Wm & Mary",328,220.61731573020282
"LeBard, David - Yeshiva U",320,0
"Beckstein, Oliver - Arizona State U",314,54.454028060914474
"Fisher, Robert T - U Mass, Dartmouth",311,50.787845473362026
"Lyman, Edward - U Delaware",297,32.44637910696109
"Boldyrev, Stanislav - U Wisconsin-Madison",292,82.69525098177371
