title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Sandholm, Tuomas - CMU",683,73.70277311918043
"Lyon, John G. - Dartmouth College",673,51.831636531545385
"Loeffler, Frank - Louisiana State U",670,83.68466781993763
"Velikokhatnyi, Oleg I - U Pittsburgh",667,67.67463354507682
"Mofrad, Mohammad R. K. - UC Berkeley",662,30.531795069849615
"Shapiro, Paul R - UT Austin",655,43.13112477439991
"Dawes, Richard - Missouri S&T",654,90.93950829602552
"De Zorzi, Rita - Harvard Med Sch",652,94.14281715861802
"Skjellum, Anthony  - Auburn U",643,72.59602460788271
"Hart, David Lawrence - NCAR",640,386.53100619484593
"Sundar, Hari  - U Utah",640,43.97771598277669
"Djohari, Hadrian - CWRU",639,91.30711162818385
"Anderson, Stuart Bruce - Caltech",635,33.27047501401492
"Keaveny, Tony M. - UC Berkeley",630,40.48412135706315
"Wu, Chengping - U Virginia",627,24.97921580288199
"Tomko, Karen - Ohio State U",610,51.920753519453086
"Jaberi, Farhad A - Michigan State U",608,24.231225660772218
"Boldyrev, Stanislav - U Wisconsin-Madison",607,50.36033792986983
"Moldwin, Mark B - U Michigan",606,170.4235105939745
"Patricola, Christina M - Texas A&M",606,16.57569075788726
"Peet, Yulia  - Arizona State U",606,28.034576471414148
"Helly, John J - UC San Diego",605,52.266499454686176
"Klein, Michael - Temple U",605,2.6509495712493614
"Sinha, Manodeep - Vanderbilt U",600,41.3347997844608
"Chow, Edmond - Georgia Tech",593,109.3583040384144
"Einstein, Theodore L - U Maryland",592,6.789430883878709
"He, Ping - NC State U",591,68.43202189043933
"Roy, Kuldeep Kumar - U Mississippi",580,68.7184270936277
"Van Roekel, Luke - CU Boulder",576,50.43356806234177
"Palsson, Bernhard - UC San Diego",574,90.36873326018507
"Falkingham, Peter Lewis - Brown U",569,83.9148910235427
"Etienne, Zachariah B - West Virginia U",567,92.29270136657766
"Olson, Lorraine G. - Rose-Hulman Tech",567,39.11279576522602
"Subramanian, Aneesh - SIO",565,121.15745323708427
"Tokman, Mayya - UC Merced",560,232.2756982553276
"Warren, Allen A - U Montana",551,2.742090504737607
"Wei, Zhigang - U Notre Dame",551,56.00096968148409
"Hasenfratz, Anna - CU Boulder",549,4.132955264050017
"Heinz, Sebastian - U Wisconsin-Madison",540,91.91439495530607
"Meakin, Casey Adam - LANL",540,83.73698969877279
"Han, Yong - Iowa State U",532,18.87267404475584
"Kim, Hyojin - Harvard Med Sch",529,16.247556190015164
"Schulten, Klaus J. - UIUC",529,33.41320476165416
"Ramm, Alexander G. - Kansas State U",528,37.85633734572304
"Tsang, Leung - U Michigan",517,24.986346094160663
"McCarthy, John M - UC Irvine",516,142.56350164049698
"Fisher, Robert T - U Mass, Dartmouth",513,40.66194820323105
"Tan, Dongyan - Harvard Med Sch",512,0
"Zou, Jian  - WPI",512,0
"Bullock, James S - UC Irvine",503,41.002637183478825
"Gao, Huajian - Brown U",499,77.36910323814004
"Sinha, Neelima - UC Davis",492,165.4750736515926
"Chong, Lillian T - U Pittsburgh",491,55.36798379464354
"Kellogg, Louise H - UC Davis",491,23.036842057181318
"Xia, Qian - U Wisconsin-Madison",490,24.015021856326236
"Asadi, Ebrahim - Missouri S&T",488,24.17204997512624
"Guan, Zhen - UC Irvine",488,54.92862677421804
"Li, Jessie - Stanford U",486,101.27870665846505
"Feig, Michael - Michigan State U",481,11.983404623515998
"Bai, Xuening - Smithsonian Astrophys Obs",477,56.12104315571291
"Frank, Adam - U Rochester",476,23.19453264387388
"Ott, Christian David - Caltech",466,21.62943795939328
"Parry, Owen - U Maryland",464,47.579147051319815
"Abraham, John - Purdue U",462,33.95749143530306
"Amaro, Rommie E - UC San Diego",461,28.58971135646597
"Pritchett, Philip L. - UCLA",461,29.54812693687664
"Zhu, Cheng - Georgia Tech",459,19.06975994579954
"Ruan, Youyi - Brown U",457,21.159970503851827
"Eigenmann, Rudolf - Purdue U",456,92.54892049887528
"Michalakes, John George - NOAA",456,124.02188883874271
"Aller, Stephen G - U Alabama, Birmingham",451,37.79806320201321
"Wang, Shaowen - UIUC",449,25.07059905304451
"Perez, Jean Carlos - U New Hampshire",448,33.86020804490257
"Shende, Sameer Suresh - U Oregon",444,66.07769637815561
