title
"Job Size: Max (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Max (Core Count)"
"Li, Jianing - U Vermont",4096
"Liu, Lijun - UIUC",4096
"Mac Low, Mordecai-Mark - AMNH",4096
"Mahesh, Krishnan - U Minn",4096
"Majumdar, Amitava - UC San Diego",4096
"Marinacci, Federico - MIT",4096
"Matyushov, Dmitry V - Arizona State U",4096
"McKinney, Jonathan C. - U Maryland",4096
"Meakin, Casey Adam - LANL",4096
"Meneses, Esteban - U Pittsburgh",4096
"Mertz, Blake - West Virginia U",4096
"Miao, Maosheng - UC Santa Barbara",4096
"Mitas, Lubos - NC State U",4096
"Moehlis, Jeff - UC Santa Barbara",4096
"Mofrad, Mohammad R. K. - UC Berkeley",4096
"Mueller, Frank - NC State U",4096
"Narayan, Ramesh - Harvard U",4096
"Nikolic, Branislav - U Delaware",4096
"Nishikawa, Ken-Ichi - U Alabama, Huntsville",4096
"Norman, Michael L. - UC San Diego",4096
"O'Leary, Ryan - UC Berkeley",4096
"Oldham, Edward - U Mary Washington",4096
"Oppenheim, Meers - Boston U",4096
"Orf, Leigh G. - Central Michigan U",4096
"Panoff, Robert M - Shodor",4096
"Patricola, Christina M - Texas A&M",4096
"Peet, Yulia  - Arizona State U",4096
"Pekurovsky, Dmitry - UC San Diego",4096
"Perez, Jean Carlos - U New Hampshire",4096
"Pettitt, Bernard Montgomery - UT Med Branch",4096
"Place, Sean - U South Carolina",4096
"Ren, Pengyu - UT Austin",4096
"Riley, Pete - Predictive Science",4096
"Saltz, Joel H - SUNY Stony Brook",4096
"Shao, Chen  - Northwestern U",4096
"Sharma, Anupam - Iowa State U",4096
"Skjellum, Anthony  - Auburn U",4096
"Snir, Marc - UIUC",4096
"Sosonkina, Masha - Old Dominion U",4096
"Spitkovsky, Anatoly - Princeton U",4096
"Sterling, Thomas - Indiana U",4096
"Subramaniam, Shankar - Iowa State U",4096
"Sundar, Hari  - U Utah",4096
"Sur, Sharanya - Arizona State U",4096
"Sutliff, Daniel Linden - NASA Glenn",4096
"Tajkhorshid, Emad - UIUC",4096
"Tchekhovskoy, Alexander - UC Berkeley",4096
"Thornton, Katsuyo - U Michigan",4096
"Toth, David - Centre College",4096
"Towns, John W. - UIUC",4096
"Tsang, Leung - U Michigan",4096
"Van Roekel, Luke - CU Boulder",4096
"Voth, Gregory A - U Chicago",4096
"Warren, Allen A - U Montana",4096
"Wei, Zhigang - U Notre Dame",4096
"Wise, John H - Georgia Tech",4096
"Work, Daniel  - UIUC",4096
"Xuan, Yuan  - Penn State U",4096
"Xue, Ming - U Oklahoma",4096
"Yang, Yuan - MIT",4096
"Zhang, Fuqing - Penn State U",4096
"Zhang, Xiuwen - CU Boulder",4096
"Zhuang, Houlong - ORNL",4096
"Allison, Jason Robert - TACC",4080
"Blaisdell, Gregory A. - Purdue U",4032
"Chen, Min - Rice U",4032
"Niu, Fenglin - Rice U",4032
"Raeder, Joachim - U New Hampshire",4016
"Ballance, Connor - Auburn U",4000
"Luthey-Schulten, Zaida - UIUC",4000
"Phares, Alain Joseph - Villanova U",4000
"Soltesz, Ivan - UC Irvine",4000
"Space, Brian - U South Florida",4000
"Saravanan, Ramalingam - Texas A&M",3968
"Wang, Xuguang - U Oklahoma",3872
"Berlind, Andreas - Vanderbilt U",3840
