title
"Job Size: Min (Core Count): by PI"
parameters

start,end
2015-01-01,2015-05-01
---------
PI,"Job Size: Min (Core Count)"
"Moreno, Juana - Louisiana State U",3200
"Toomre, Juri - CU Boulder",3152
"Djohari, Hadrian - CWRU",2192
"Gasper, Paul M - SUNY Albany",1248
"Hong, Han  - Stanford U",1024
"Trac, Hy - CMU",1024
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",912
"Yao, Xiaohui - IUPUI",800
"Akis, Richard - Arizona State U",736
"Speyer, Gil - Arizona State U",736
"Johnson, Harley T. - UIUC",640
"Subramanian, Aneesh - SIO",560
"Ranganathan, Srivathsan V - SUNY Albany",528
"Balick, Bruce -- - U Washington",512
"Bylander, Daniel Martin - Texas State U",512
"Falkingham, Peter Lewis - Brown U",512
"Zou, Jian  - WPI",512
"Zhu, Cheng - Georgia Tech",480
"El-Alaoui, Mostafa - UCLA",400
"Motamarri, Phani - U Michigan",400
"Sotomayor, Marcos - Ohio State U",400
"Bykhovskaia, Maria - Central U Caribbean",384
"Ruan, Youyi - Brown U",384
"Madura, Jeffry D. - Duquesne U",320
"Pellman, David Steven - Dana-Farber Cancer Inst",320
"Kogut, John B. - U Maryland",288
"Asle Zaeem, Mohsen - Missouri S&T",256
"Dempski, Robert E - WPI",256
"Dick, Robert Alfred - Cornell U",256
"Doughty, Shawn G. - Tufts U",256
"Heinz, Sebastian - U Wisconsin-Madison",256
"Jiang, Yanfei - Smithsonian Astrophys Obs",256
"Kane, Michael John - Yale U",256
"Lele, Sanjiva K - Stanford U",256
"Lobo, Daniel - Tufts U",256
"Mondal, Sayan - Weill Cornell Med College",256
"Morris, Mark - UCLA",256
"Perez-Aguilar, Jose Manuel - Weill Cornell Med College",256
"Pritchett, Philip L. - UCLA",256
"Ramaprabhu, Praveen Kumar - UNC Charlotte",256
"Reutt-Robey, Janice Ellen - U Maryland",256
"Silvia, Devin W - Michigan State U",256
"Smith, Britton D - U Edinburgh",256
"Velazquez, Leticia  - Rice U",256
"White, Stephen H. - UC Irvine",256
"Khanna, Gaurav - U Mass, Dartmouth",200
"Buck, Matthias - CWRU",192
"Fragile, Patrick C - College of Charleston",192
"Ihme, Matthias - Stanford U",192
"li, yaping  - U Tulsa",192
"Chen, Jen-Ping  - Ohio State U",176
"Bhattacharya, Apratim - Andritz Automation",160
"Burton, Zachary F - Michigan State U",160
"Huggett, Mark - Georgetown U",160
"Leschziner, Andres E - Harvard U",160
"Shubert, Richard H. - Inst for Fundamental Sci",160
"Spearot, Douglas - U Arkansas",160
"Shen, Peter  - U Utah",144
"Abernathey, Ryan - Columbia U",128
"Adrian, Ronald John - Arizona State U",128
"Ascenzi, Maria-Grazia - UCLA",128
"Berlind, Andreas - Vanderbilt U",128
"Boudker, Olga - Weill Cornell Med College",128
"Briggs, James Michael - U Houston",128
"Lastoskie, Christian - U Michigan",128
"Loesche, Mathias  - CMU",128
"MacLeod, Morgan Elowe - UC Santa Cruz",128
"Malaspina, David Cesar - Northwestern U",128
"McFarquhar, Greg Michael - UIUC",128
"Meneveau, Charles - Johns Hopkins U",128
"Niemann, Christoph - UCLA",128
"Ramm, Alexander G. - Kansas State U",128
"Sperhake, Ulrich - Caltech",128
"Teich-McGoldrick, Stephanie Leah - Sandia",128
"Wang, Yang - CMU",128
"Winters, Kraig - UC San Diego",128
"Moldwin, Mark B - U Michigan",112
"Grosman, Claudio Fabian - UIUC",96
"Kibalchenko, Mikhail - UCLA",96
"LeBard, David - Yeshiva U",96
"Rolfe, Bryan Andrew - Cornell U",96
"Wiens, Douglas A - Washington U",96
"Chen, Ke - WHOI",80
"Diener, Peter - Louisiana State U",80
"Feig, Michael - Michigan State U",80
"Fleming, Karen - Johns Hopkins U",80
"Lazarian, Alex - U Wisconsin-Madison",80
"Beck, Jordan P - Concordia U",64
"Childers, Greg - CSU-Fullerton",64
"Connor, Edward F - San Francisco State U",64
"Deike, Luc J.R - SIO",64
"Dufek, Josef - Georgia Tech",64
"Emerick, Andrew James - Columbia U",64
"Engelman, Donald M - Yale U",64
"Garcia, Adrian  - UC Irvine",64
"Guven, Ibrahim - U Arizona",64
"Hampton, Scott S. - U Notre Dame",64
"Herce, Henry David - RPI",64
"Johnsen, Eric - U Michigan",64
"Johnson, Erin R - UC Merced",64
"Karabadzhak, Alexander G - Yale U",64
"Kennefick, Daniel John - U Arkansas",64
"Kim, Kyung-Suk - Brown U",64
