title
"Job Size: Max (Core Count): by PI"
parameters

start,end
2015-04-01,2015-04-30
---------
PI,"Job Size: Max (Core Count)"
"Kubis, Tillmann - Purdue U",64000
"Cosden, Ian A - Princeton U",16384
"Harman, Todd - U Utah",16384
"Liu, Keh-Fei - U Kentucky",16384
"Ott, Christian David - Caltech",16384
"Reed, Patrick M - Cornell U",16384
"Stadler, Georg - NYU",16384
"Wang, Bei - Princeton U",16384
"Wang, Shaowen - UIUC",16384
"Pogorelov, Nikolai - U Alabama, Huntsville",16000
"Jakowski, Jacek - U Tennessee",10240
"Smith, Cameron Walter - RPI",8752
"Amaro, Rommie E - UC San Diego",8192
"Cohen, Marvin L. - UC Berkeley",8192
"Donzis, Diego A. - Texas A&M",8192
"Pande, Santosh - Georgia Tech",8192
"Soe, Min - Rogers State U",8192
"Yeung, Pui-kuen - Georgia Tech",8192
"Gumbart, James - Georgia Tech",5760
"Wu, Chengping - U Virginia",5600
"Aksimentiev, Aleksei - UIUC",4096
"Anderson, Stuart Bruce - Caltech",4096
"Arolla, Sunil - Cornell U",4096
"Bodony, Daniel Joseph - UIUC",4096
"Boldyrev, Stanislav - U Wisconsin-Madison",4096
"Chang, Ping - Texas A&M",4096
"Chiu, Wah - Baylor College of Med",4096
"Cui, Yifeng - UC San Diego",4096
"Demmel, James Weldon - UC Berkeley",4096
"Gibou, Frederic - UC Santa Barbara",4096
"Kellogg, Louise H - UC Davis",4096
"Marinacci, Federico - MIT",4096
"McKinney, Jonathan C. - U Maryland",4096
"Mitas, Lubos - NC State U",4096
"Narayan, Ramesh - Harvard U",4096
"Reynolds, Christopher Stephen - U Maryland",4096
"Sironi, Lorenzo - Harvard U",4096
"Skjellum, Anthony  - Auburn U",4096
"Sterling, Thomas - Indiana U",4096
"Sundar, Hari  - U Utah",4096
"Tchekhovskoy, Alexander - UC Berkeley",4096
"Xuan, Yuan  - Penn State U",4096
"Yilmaz, Ali - UT Austin",4096
"Allison, Jason Robert - TACC",4080
"Raeder, Joachim - U New Hampshire",4016
"Dawson, Clinton N - UT Austin",4000
"Luthey-Schulten, Zaida - UIUC",4000
"Soltesz, Ivan - UC Irvine",4000
"Jin, Guangxu  - Wake Forest Sch of Med",3840
"Xue, Ming - U Oklahoma",3840
"Martins, Joaquim - U Michigan",3680
"Fang, Fang - NCAR",3600
"Howes, Gregory G - U Iowa",3584
"Chen, Min - Rice U",3456
"Chelikowsky, James R - UT Austin",3408
"Keaveny, Tony M. - UC Berkeley",2896
"Mazloff, Matthew R. - SIO",2688
"Ceperley, David M - UIUC",2560
"Jagota, Anand - Lehigh U",2560
"Mittal, Jeetain - Lehigh U",2560
"Bartschat, Klaus - Drake U",2512
"Jaberi, Farhad A - Michigan State U",2400
"Nishikawa, Ken-Ichi - U Alabama, Huntsville",2304
"Blanquart, Guillaume - Caltech",2080
"Anderson, Steven Edward - Texas A&M",2048
"Blondin, John M. - NC State U",2048
"Debenedetti, Pablo G - Princeton U",2048
"Hagen, Scott Charles - U Central Florida",2048
"Jewett, Brian F - UIUC",2048
"Jordan, Thomas H. - USC",2048
"Mendes, Celso Luiz - UIUC",2048
"Mofrad, Mohammad R. K. - UC Berkeley",2048
"O'Leary, Ryan - UC Berkeley",2048
"Ramaprabhu, Praveen Kumar - UNC Charlotte",2048
"Schulten, Klaus J. - UIUC",2048
"Tomko, Karen - Ohio State U",2048
"Zhu, Zhaohuan - Princeton U",2048
"Cessi, Paola - SIO",2032
"Wang, Xuguang - U Oklahoma",2016
"Whited, Toni M - U Rochester",2000
"Indiviglio, Frank M - NOAA",1936
"Srinivasan, Sundar - U Washington",1920
"Saravanan, Ramalingam - Texas A&M",1856
"Condron, Alan - U Mass, Amherst",1824
"Uzun, Ali - Florida State U",1728
"Phares, Alain Joseph - Villanova U",1712
"Hasenfratz, Anna - CU Boulder",1600
"Mac Low, Mordecai-Mark - AMNH",1536
"Yang, Li - Washington U",1536
"Zeng, Yong - U Missouri, Kansas City",1536
"Mahesh, Krishnan - U Minn",1440
"Moehlis, Jeff - UC Santa Barbara",1296
"Dennis, John Mauff - NCAR",1280
"Glotzer, Sharon C - U Michigan",1280
"Morse, David - U Minn",1280
"Zgid, Dominika Kamila - U Michigan",1280
"Zhang, Fuqing - Penn State U",1280
"Meneses, Esteban - U Pittsburgh",1216
"Gao, Huajian - Brown U",1200
"Han, Yong - Iowa State U",1200
"Beckstein, Oliver - Arizona State U",1184
"Filizola, Marta - Mt Sinai Sch of Med",1152
"Ganapathysubramanian, Baskar - Iowa State U",1088
"Alexandrova, Anastassia - UCLA",1024
"Aspuru-Guzik, Alan - Harvard U",1024
"Baden, Scott B. - UC San Diego",1024
"Berzins, Martin - U Utah",1024
"Boylan-Kolchin, Michael  - U Maryland",1024
"Bryan, Greg L. - Columbia U",1024
"Chan, Maria - ANL",1024
"Chen, Hanning - George Washington U",1024
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",1024
"Fan, Shanhui - Stanford U",1024
"Frank, Adam - U Rochester",1024
"Gilmore, Matthew - U North Dakota",1024
"Gomez, Facundo A - Michigan State U",1024
"Ivanov, Ivaylo - Georgia State U",1024
"Khaldi, Dounia - U Houston",1024
"Klein, Richard I. - UC Berkeley",1024
"Lyman, Edward - U Delaware",1024
"Marcus, Philip Stephen - UC Berkeley",1024
"Mehringer, Susan - Cornell U",1024
"Monismith, David Richard - NW Missouri State U",1024
"Nikolic, Branislav - U Delaware",1024
"Oh, Siang Peng - UC Santa Barbara",1024
"Oppenheim, Meers - Boston U",1024
"Pettitt, Bernard Montgomery - UT Med Branch",1024
"Pillepich, Annalisa  - Harvard U",1024
"Pretorius, Frans - Princeton U",1024
"Pritchett, Philip L. - UCLA",1024
"Pueschel, Moritz J - U Wisconsin-Madison",1024
"Quataert, Eliot - UC Berkeley",1024
"Robia, Seth Louis - Loyola U Chicago",1024
"Roux, Benoit - U Chicago",1024
"Saven, Jeffery G - U Pennsylvania",1024
"Simon, Jake - Southwest Res Inst",1024
"Smith, Aaron Robin - UT Austin",1024
"Snir, Marc - UIUC",1024
"Sotomayor, Marcos - Ohio State U",1024
"Subramaniam, Shankar - Iowa State U",1024
"Sur, Sharanya - Arizona State U",1024
"Wang, Jin - SUNY Stony Brook",1024
"Kammel, Peter - U Washington",1008
"Space, Brian - U South Florida",1008
"Singh, Parampreet  - Louisiana State U",1000
"Voth, Gregory A - U Chicago",1000
"Zou, Jian - IUPUI",992
"Brannigan, Grace - Rutgers U",960
"Heinz, Sebastian - U Wisconsin-Madison",960
"Hennig, Richard G. - U Florida",960
"Vaughn, Matthew W - TACC",944
"Wilkins-Diehr, Nancy - UC San Diego",944
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",912
"Garcia, Angel E - RPI",896
"Hong, Sampyo - U Central Florida",896
"Motamarri, Phani - U Michigan",800
"Shea, Joan-Emma - UC Santa Barbara",800
"Yao, Xiaohui - IUPUI",800
"Keres, Dusan - UC San Diego",768
"Patricola, Christina M - Texas A&M",768
"Volkov, Alexey N. - U Alabama",768
"Akis, Richard - Arizona State U",736
"Beckham, Gregg T - NREL",640
"Cohen, Ronald E. - CIW",640
"Filip, Grzegorz Piotr - U Michigan",640
"Jha, Shantenu - Rutgers U",640
"Laguna, Pablo - Georgia Tech",640
"Madura, Jeffry D. - Duquesne U",640
"Maidment, David Robert - UT Austin",640
"Maki, Kevin - U Michigan",640
"Pujari, Sumiran  - U Kentucky",640
"Richard, Ryan Matthew - Georgia Tech",640
"Zhang, Shiwei  - College of Wm & Mary",640
"Zhu, Cheng - Georgia Tech",640
"Abraham, John - Purdue U",608
"Biringen, Sedat - CU Boulder",608
"Wiens, Douglas A - Washington U",608
"Helenbrook, Brian - Clarkson U",576
"Landau, David P - U Georgia",576
"Del Vento, Davide - NCAR",560
"Subramanian, Aneesh - SIO",560
"Ahmed, Shaikh S - SIU Carbondale",544
"Hernandez, Rigoberto - Georgia Tech",544
"Kirschner, Denise - U Michigan",544
"Abernathey, Ryan - Columbia U",512
"Asadi, Ebrahim - Missouri S&T",512
"Baptista, Antonio  - Oregon Health & Sci U",512
"Berlind, Andreas - Vanderbilt U",512
"Billington, Sarah L - Stanford U",512
"Cheung, Margaret S. - U Houston",512
"Demeler, Borries - UT Hlth Sci Ctr San Antonio",512
"Dibble, Theodore S. - SUNY ESF",512
"Dongare, Avinash M - U Connecticut",512
"Dorland, William D - U Maryland",512
"Doubleday, Charles - Columbia U",512
"Duan, Huaiyu - U New Mexico",512
"El-Awady, Jaafar A - Johns Hopkins U",512
"Feig, Michael - Michigan State U",512
"Feigenson, Gerald W - Cornell U",512
"Fisher, Robert T - U Mass, Dartmouth",512
"Gray, Jeffrey J - Johns Hopkins U",512
"Hill, Alex S - Haverford College",512
"Jensen, Lasse - Penn State U",512
"Johnsen, Eric - U Michigan",512
"Karanicolas, John - U Kansas",512
"Keating, Brian - UC San Diego",512
"Kim, John - UCLA",512
"Laurent, Louise - UC San Diego",512
"Le, Duy - U Central Florida",512
"Lesage, Anne-Cecile - Texas Tech U",512
"Lin, Hai - CU Denver",512
"Oleynik, Ivan - U South Florida",512
"Panchenko, Anna - NIH",512
"Park, Kyungwha - Virginia Tech",512
"Peet, Yulia  - Arizona State U",512
"Tang, Pei - U Pittsburgh Sch of Med",512
"Van de Walle, Chris G. - UC Santa Barbara",512
"Vladimirova, Natalia - U New Mexico",512
"Wereszczynski, Jeff - IIT",512
"Wyble, Brad Paul - Penn State U",512
"Zarif-Khalili-Yazdani, Alireza - Brown U",512
"Zhang, Peng - SUNY Stony Brook",512
"Zhu, Xiao - Purdue U",512
"Zou, Jian  - WPI",512
"Al-Saidi, Wissam Abdo - U Pittsburgh",480
"Baruah, Tunna - UT El Paso",480
"Espinosa, Horacio Dante - Northwestern U",480
"Kaxiras, Efthimios - Harvard U",480
"Larson, Ronald G. - U Michigan",480
"Riley, Pete - Predictive Science",480
"Schanzenbach, David - U Hawaii, Manoa",480
"Sheikhi, Reza H - Northeastern U",480
"Burton, Zachary F - Michigan State U",448
"Lousto, Carlos - RIT",448
"Fleming, Karen - Johns Hopkins U",432
"Apte, Sourabh V - Oregon State U",400
"McCammon, James Andrew - UC San Diego",400
"sansoz, frederic - U Vermont",400
"Bykhovskaia, Maria - Central U Caribbean",384
"Cui, Qiang - U Wisconsin-Madison",384
"Downar, Thomas J. - U Michigan",384
"Latour Jr., Robert A. - Clemson U",384
"Liebling, Steven - Long Island U",384
"Makhatadze, George I - RPI",384
"Matysiak, Silvina - U Maryland",384
"Qiao, Bin - UC San Diego",384
"Dalcanton, Julianne - U Washington",352
"Pirkelbauer, Peter  - U Alabama, Birmingham",352
"Prives, Carol - Columbia U",336
"Awasthi, Amnaya - U Florida",320
"Hocky, Glen - Columbia U",320
"Jones, Matthew D. - SUNY Buffalo",320
"Kindt, James - Emory U",320
"LeBard, David - Yeshiva U",320
"Loftis, Bruce - CU Boulder",320
"Matyushov, Dmitry V - Arizona State U",320
"Ramprasad, Ramamurthy - U Connecticut",320
"Sarkar, Sutanu - UC San Diego",320
"Tajkhorshid, Emad - UIUC",320
"Tsang, Leung - U Michigan",320
"Kim, Ji-hoon - Caltech",304
"Case, David A - Rutgers U",288
"Kogut, John B. - U Maryland",288
"Levy, Ronald M - Rutgers U",288
"Acharya, Amit - CMU",256
"Adrian, Ronald John - Arizona State U",256
"Akhavan, Rayhaneh - U Michigan",256
"Alexander-Katz, Alfredo - MIT",256
"Andricioaei, Ioan - UC Irvine",256
"Boudker, Olga - Weill Cornell Med College",256
"Bretherton, Christopher Stephen - U Washington",256
"Brummell, Nicholas H - UC Santa Cruz",256
"Cannon, John Francis - U Missouri, Columbia",256
"Caprez, Adam - U Nebraska, Lincoln",256
"Chong, Lillian T - U Pittsburgh",256
"Chrisochoides, Nikos - Old Dominion U",256
"Cooper, Catherine Marguerite - Washington State U",256
"Cooperman, Gene - Northeastern U",256
"Cowburn, David - Einstein College of Med",256
"Dayal, Kaushik - CMU",256
"Dempski, Robert E - WPI",256
"Detmold, William - MIT",256
