madison_PI_2015-01-01_to_2015-05-01_aggregate.csv 
PI,CPU Hours: Total,Job Size: Max (Core Count),Job Size: Min (Core Count),Job Size: Per Job (Core Count)
"Morgan, Dane ",1054629,192,16,36
"Cui, Qiang ",882182,512,1,36
"Xia, Qian ",837946,2048,16,396
"Yethiraj, Arun ",752336,80,16,27
"Pueschel, Moritz J ",732639,1024,16,261
"Boldyrev, Stanislav ",566194,4096,16,364
"Voyles, Paul M ",486338,256,16,98
"Heinz, Sebastian ",62268,960,256,592
"Fu, Chao ",7055,256,16,165
"Lazarian, Alex ",1184,96,80,88
"Mikulyuk, Alison F ",56,48,16,22
"Halzen, Francis  ",53,16,16,16
