title
"Number of Jobs Ended"
parameters

start,end
2015-03-22,349
2015-03-23,429
2015-03-24,438
2015-03-25,439
2015-03-26,436
2015-03-27,434
2015-03-28,356
2015-03-29,360
2015-03-30,387
2015-03-31,354
---------
title
"Number of Institutions: Active"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Institutions: Active"
2015-03-01,172
2015-03-02,194
2015-03-03,199
2015-03-04,209
2015-03-05,195
2015-03-06,200
2015-03-07,177
2015-03-08,163
2015-03-09,194
2015-03-10,204
2015-03-11,208
2015-03-12,202
2015-03-13,193
2015-03-14,165
2015-03-15,169
2015-03-16,186
2015-03-17,206
2015-03-18,216
2015-03-19,203
2015-03-20,206
2015-03-21,180
2015-03-22,169
2015-03-23,203
2015-03-24,207
2015-03-25,206
2015-03-26,214
2015-03-27,216
2015-03-28,183
2015-03-29,177
2015-03-30,187
2015-03-31,180
---------
title
"XD SUs Charged: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] XD SUs Charged: Total"
2015-03-01,11999088
2015-03-02,11572754
2015-03-03,11627554
2015-03-04,11950682
2015-03-05,12477855
2015-03-06,12542379
2015-03-07,12468151
2015-03-08,11052641
2015-03-09,11361999
2015-03-10,11285115
2015-03-11,12540529
2015-03-12,12624519
2015-03-13,11641097
2015-03-14,12132525
2015-03-15,12109994
2015-03-16,11613805
2015-03-17,12338992
2015-03-18,12342786
2015-03-19,12468429
2015-03-20,12498518
2015-03-21,12729330
2015-03-22,11863834
2015-03-23,11979458
2015-03-24,12231667
2015-03-25,12674242
2015-03-26,12796853
2015-03-27,12962134
2015-03-28,12731013
2015-03-29,12819273
2015-03-30,10560723
2015-03-31,5179242
---------
title
"NUs Charged: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] NUs Charged: Total"
2015-03-01,258892322.688
2015-03-02,249693740.304
2015-03-03,250876105.104
2015-03-04,257847914.832
2015-03-05,269222199.480
2015-03-06,270614369.304
2015-03-07,269012825.976
2015-03-08,238471782.216
2015-03-09,245146490.424
2015-03-10,243487641.240
2015-03-11,270574453.704
2015-03-12,272386621.944
2015-03-13,251168308.872
2015-03-14,261771359.400
2015-03-15,261285230.544
2015-03-16,250579456.680
2015-03-17,266226091.392
2015-03-18,266307950.736
2015-03-19,269018824.104
2015-03-20,269668024.368
2015-03-21,274648024.080
2015-03-22,255974082.384
2015-03-23,258468785.808
2015-03-24,263910447.192
2015-03-25,273459445.392
2015-03-26,276104900.328
2015-03-27,279671003.184
2015-03-28,274684336.488
2015-03-29,276588634.248
2015-03-30,227858159.448
2015-03-31,111747325.392
---------
title
"CPU Hours: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] CPU Hours: Total"
2015-03-01,2639919.8758
2015-03-02,2542071.5661
2015-03-03,2572293.3967
2015-03-04,2579045.9219
2015-03-05,2634328.6178
2015-03-06,2606158.5992
2015-03-07,2596800.3231
2015-03-08,2293999.0733
2015-03-09,2518626.1436
2015-03-10,2624972.0039
2015-03-11,2776723.6767
2015-03-12,2774391.2028
2015-03-13,2526295.4322
2015-03-14,2585859.6011
2015-03-15,2458208.2617
2015-03-16,2484765.8397
2015-03-17,2739124.1403
2015-03-18,2785209.8553
2015-03-19,2827252.4506
2015-03-20,2797776.3156
2015-03-21,2843059.9914
2015-03-22,2724312.7761
2015-03-23,2712808.2158
2015-03-24,2741438.3519
2015-03-25,2805441.1642
2015-03-26,2767100.6067
2015-03-27,2865019.3939
2015-03-28,2688520.6325
2015-03-29,2786846.4831
2015-03-30,2348035.5286
2015-03-31,1215460.3764
---------
title
"Node Hours: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Node Hours: Total"
2015-03-01,214753.7461
2015-03-02,205337.7719
2015-03-03,196318.3056
2015-03-04,198877.2672
2015-03-05,203817.5556
2015-03-06,200662.5733
2015-03-07,198067.4797
2015-03-08,169271.3317
2015-03-09,178904.6522
2015-03-10,177474.1975
2015-03-11,193804.4881
2015-03-12,197764.2144
2015-03-13,184754.5172
2015-03-14,188716.6017
2015-03-15,180609.1086
2015-03-16,189188.4544
2015-03-17,212953.1422
2015-03-18,211083.6181
2015-03-19,211915.1269
2015-03-20,196332.2258
2015-03-21,188480.3975
2015-03-22,180663.8947
2015-03-23,184976.7994
2015-03-24,188463.1253
2015-03-25,192686.6411
2015-03-26,188125.3167
2015-03-27,193043.1472
2015-03-28,189466.0364
2015-03-29,190256.0717
2015-03-30,161416.6303
2015-03-31,89381.9389
---------
title
"Wait Hours: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Wait Hours: Total"
2015-03-01,55716.5444
2015-03-02,27059.8558
2015-03-03,57407.1631
2015-03-04,42533.6219
2015-03-05,38533.2375
2015-03-06,39651.4683
2015-03-07,49443.8383
2015-03-08,35055.0858
2015-03-09,31718.0883
2015-03-10,32348.2200
2015-03-11,61445.5936
2015-03-12,34882.3097
2015-03-13,63308.4478
2015-03-14,33275.7589
2015-03-15,62372.9083
2015-03-16,47614.1511
2015-03-17,42180.2956
2015-03-18,37299.8342
2015-03-19,47087.1461
2015-03-20,57468.4878
2015-03-21,40209.6897
2015-03-22,40673.4203
2015-03-23,39311.7508
2015-03-24,29304.4150
2015-03-25,37500.4611
2015-03-26,51048.3392
2015-03-27,66514.9525
2015-03-28,43167.0725
2015-03-29,43732.2936
2015-03-30,13357.8606
2015-03-31,56300.9789
---------
title
"Wall Hours: Total"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Wall Hours: Total"
2015-03-01,29990.8731
2015-03-02,29286.6661
2015-03-03,28055.9175
2015-03-04,35352.9844
2015-03-05,36246.8697
2015-03-06,33881.5078
2015-03-07,28877.4933
2015-03-08,22784.5978
2015-03-09,30787.8817
2015-03-10,33448.1711
2015-03-11,35847.8533
2015-03-12,34642.2603
2015-03-13,32532.1983
2015-03-14,24667.3842
2015-03-15,23590.6325
2015-03-16,29111.4675
2015-03-17,30566.4925
2015-03-18,33818.0397
2015-03-19,30762.6256
2015-03-20,33130.6503
2015-03-21,34023.5028
2015-03-22,24092.7258
2015-03-23,27358.9914
2015-03-24,29161.8728
2015-03-25,32252.5464
2015-03-26,26409.1650
2015-03-27,26243.7219
2015-03-28,23896.7806
2015-03-29,24468.3597
2015-03-30,23462.7858
2015-03-31,21019.1586
---------
title
"XD SUs Charged: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] XD SUs Charged: Per Job","[XSEDE] Std Err of XD SUs Charged: Per Job"
2015-03-01,1834.7229,140.6544594572231
2015-03-02,1467.1341,133.85616318766503
2015-03-03,1167.7768,74.61286843528212
2015-03-04,1499.2701,114.78181005923432
2015-03-05,1577.2791,138.99471605651743
2015-03-06,1394.8375,86.11619372919326
2015-03-07,1483.5972,120.61420180351935
2015-03-08,2562.0401,223.21818678398498
2015-03-09,1458.5365,81.96598950376364
2015-03-10,1364.5846,87.83289175537143
2015-03-11,1346.9956,100.21071095418203
2015-03-12,1551.4955,107.3108617746278
2015-03-13,1651.6880,110.57073566994002
2015-03-14,2346.7166,337.61649263893474
2015-03-15,2137.3092,275.7038431600278
2015-03-16,1972.4533,204.3716039026225
2015-03-17,1742.5494,131.81215882443314
2015-03-18,1560.0083,118.68458915541268
2015-03-19,1591.3757,150.04053234147318
2015-03-20,1607.1130,121.68323311213318
2015-03-21,2096.3982,156.35414583230553
2015-03-22,2085.7655,175.3994955192846
2015-03-23,1727.6403,137.67743858823292
2015-03-24,1811.5621,144.32619821267104
2015-03-25,1410.1293,121.11146676705408
2015-03-26,1969.9589,483.5932382894851
2015-03-27,2065.0206,223.86464778450022
2015-03-28,1950.5152,293.22861558624356
2015-03-29,2292.0209,201.28024511357052
2015-03-30,1512.1310,105.68621257249254
2015-03-31,961.9692,74.89386473217681
---------
title
